Member	Year	Month	Start	Stop		Reason
001     1898    10      39      80          1
001     1911	04	25	120		207
001	1912	03	109	124		208
001	1913	03	86	124		207
001	1914	03	72	124		207
001	1972	03	10	124		208
001	1974	03	7	124		207
002	1895	07	28	124		207
002	1970	01	6	124		207
002	1970	05	88	124		207
002	1971	01	12	124		207
002	1971	02	28	112		207
002	1976	02	70	112		207
003	1922	05	17	124		207
004	1932	07	42	42		1
005	1601	08	1	24		208
005	1601	08	25	52		221
005	1601	08	53	60		208
005	1601	08	61	66		221
005	1601	08	67	72		208
005	1601	08	73	101		221
005	1601	08	102	103		213
005	1601	08	104	104		214
005	1601	08	105	105		221
005	1601	08	106	106		214
005	1601	08	107	107		221
005	1601	08	108	108		214
005	1601	08	109	109		221
005	1601	08	110	110		214
005 1601    08  111	111		213
005	1601	08	112	112		214
005 1601    08	113	114		213
005	1601	08	115	116		214
005	1601	08	117	118		213
005	1601	08	119	124		214
005	1601	09	1	6		207
005	1601	09	8	9		306
005	1601	09	10	109		207
005	1601	09	112	112		301
005	1601	09	113	114		207
005	1601	09	115	118		301
005	1601	09	120	120		208
005	1601	10	1	93		207
005	1601	10	97	97		207
005	1601	10	98	98		301
005	1601	10	102	102		207
005	1601	10	105	105		301
005	1601	10	106	106		207
005	1601	10	107	108		301
005	1601	10	109	109		207
005	1601	10	110	110		215
005	1601	10	111	113		207
005	1601	10	114	114		215
005	1601	10	115	119		207
005	1601	10	120	120		215
005	1601	10	121	124		207
005	1601	11 	1	89		207
005	1601	11	91	97		207
005	1601	11	98	99		215
005	1601	11	100	102		208
005	1601	11	103	103		215
005	1601	11	104	106		208
005	1601	11	107	108		215
005	1601	11	109	111		208
005	1601	11	112	112		215
005	1601	11	113	117		208
005	1601	11	118	118		215
005	1601	11	119	120		207
005	1601	12	1	107		207
005	1601	12	108	114		215
005	1601	12	115	116		208
005	1601	12	117	118		215
005	1601	12	119	120		208
005	1601	12	121	122		215
005	1601	12	123	124		208
005	1602	06	1	12		207
005	1602	06	13	15		301
005	1602	06	16	18		207
005	1602	06	19	22		301
005	1602	06	23	31		207
005	1602	06	32	33		301
005	1602	06	34	38		207
005	1602	06	39	39		40730
005	1602	06	40	42		301
005	1602	06	43	44		207
005	1602	06	45	50		301
005	1602	06	51	51		207
005	1602	06	52	56		301
005	1602	06	57	62		207
005	1602	06	63	68		301
005	1602	06	69	70		207
005	1602	06	71	76		301
005	1602	06	77	77		207
005	1602	06	78	101		215
005	1602	06	102	102		207
005	1602	06	103	105		215
005	1602	06	106	107		207
005	1602	06	108	109		215
005	1602	06	110	111		207
005	1602	06	112	112		215
005	1602	06	113	116		207
005	1602	06	117	120		208
005	1602	07	1	5		207
005	1602	07	8	8		301
005 1602    07  10	11		301
005	1602	07	12	13		207
005	1602	07	15	15		301
005	1602	07	16	16		207
005	1602	07	20	24		301
005	1602	07	27	27		207
005	1602	07	28	28		301
005	1602	07	32	33		207
005	1602	07	36	37		301
005	1602	07	38	39		207
005	1602	07	41	41		301
005	1602	07	42	44		207
005	1602	07	45	46		301
005	1602	07	47	51		207
005	1602	07	53	57		301
005	1602	07	58	58		207
005	1602	07	59	59		301
005 1602    07  62  62		301
005 1602    07  63  63		207
005 1602    07  64	67		301
005 1602    07  68  68		207
005 1602    07  70	72		301
005 1602    07  73  73		207
005 1602    07  74	76		215
005 1602    07  77	80		207
005 1602    07  81  81		208
005 1602    07  82  82		207
005 1602    07	83	86		208
005 1602    07	87	91		215
005 1602    07	92	92		207
005 1602    07	93	94		215
005	1602	07	95	95		207
005 1602    07	96	96		208
005 1602    07	97	100		207
005	1602	07	101	101		215
005 1602    07	102	102		207
005 1602    07	103	107		208
005 1602    07	108	112		207
005 1602    07	113	119		215
005 1602    07	120	124		207
005	1602	08	1	77		207
005 1602    08	78	79		301
005 1602    08	80	87		207
005 1602    08	89	93		208
005 1602    08	94	94		215
005 1602    08	95	98		208
005 1602    08	99	102		215
005 1602    08	103	103		208
005 1602    08	104	104		215
005 1602    08	105	105		208
005 1602    08	106	109		207
005 1602    08	110	111		215
005 1602    08	112	113		208
005 1602    08	114	120		207
005 1602    08  121 121		215
005 1602    08  122 122		208
005 1602    08  123 123		215
005 1602    08  124 124		208
005	1602	09	1	63		207
005	1602	09	66	72		207
005 1602    09	73	77		301
005 1602    09	78	80		207
005 1602    09	82	85		301
005 1602    09	86	86		215
005 1602    09	87	96		207
005 1602    09	97	97		215
005 1602    09	98	10		208
005 1602    09	103	108		207
